Longitude,Latitude
-65.3833,-10.3833
-65.1333,-16.8
-63.6667,-17.45
-63.85,-17.4
-64.4167,-16.0
-63.1667,-17.8
-56.7333,-2.6
-59.1333,-3.7
-60.0833,-3.1333
-64.8333,-0.5167
-60.0167,-3.1333
-62.0833,-3.8333
-40.0667,-19.3333
-52.6667,-3.8333
-49.5,-1.0
-55.55,-1.9167
-52.2,-1.7
-54.9833,-2.75
-55.5,-3.6667
-55.1333,-2.8333
-55.0,-2.4333
-54.7,-2.4333
-55.1,-3.0833
-55.2833,-3.45
-49.6833,-2.6833
-49.5,-2.25
-49.5,-2.5833
-46.7333,-23.45
-69.95,-4.15
-76.2667,7.0167
-75.5833,6.25
-76.7167,8.1
-75.05,7.35
-75.0667,9.9667
-74.0,10.3
-73.4333,10.15
-76.6833,5.1
-77.7667,7.1167
-76.6667,5.7
-76.95,5.05
-77.1667,7.6667
-77.1167,8.0167
-75.6833,8.2833
-74.7333,9.1167
-76.2833,7.85
-74.3,4.5833
-67.9333,3.8667
-71.3167,12.35
-73.6167,4.15
-78.15,1.6833
-72.5833,8.5
-72.5167,7.9
-74.7667,-0.2
-75.3333,0.4667
-73.9167,7.1667
-75.4,9.3
-75.35,9.5
-76.9333,4.0
-77.0833,3.6833
-84.5,10.3333
-83.6333,9.8833
-84.0167,10.6333
-83.5667,9.9167
-83.4667,8.95
-79.65,-3.7167
-79.4667,0.3333
-79.75,-1.5333
-79.6,-0.4667
-77.1333,-0.7
-77.95,-1.4833
-79.15,-0.25
-85.9333,13.1833
-83.7,10.9333
-84.5333,13.95
-84.4333,12.15
-83.7667,12.15
-82.4,9.3
-82.5167,9.45
-81.8,8.9333
-82.7833,9.6
-82.25,9.1833
-79.8167,9.1667
-79.9333,9.25
-79.9833,9.25
-79.9,9.2167
-79.6,9.2833
-77.3,8.1667
-77.6,8.0
-77.75,8.1
-77.7333,8.1333
-78.3667,7.9667
-77.4333,7.9833
-79.5833,8.95
-79.85,9.15
-79.35,9.2333
-79.8,8.8667
-79.6,8.9
-77.1167,-4.65
-74.0833,-2.3667
-73.25,-3.7667
-74.2167,-4.8333
-72.1,-3.3167
-72.1333,-3.4333
-73.05,-3.4667
-74.2167,-4.7
-75.1,-6.7333
-76.05,-5.8333
-74.5333,-8.3833
-65.55,3.1667
-65.9167,3.0833
-66.2167,5.3
-67.6833,10.3667
-68.3833,10.5333
-66.8333,10.3667
-72.6,9.15
